Row Labels,Day,NSEI,TWII,Ind
2018-03,14,10420.34961,11070.29004,1
2018-03,15,10420,11052.11035,1
2018-03,16,10346.29981,11054.86035,1
2018-03,19,10224.54981,11066,1
2018-03,20,10155.65039,11020.78027,1
2018-03,21,10227.29981,11072.30957,1
2018-03,22,10207.84961,11120.2002,1
2018-03,23,10027.7002,10863.66992,1
2018-03,26,10143.5,10840.04981,1
2018-03,27,10207.90039,10986.79004,1
2018-03,28,10158.34961,10939.96973,1
2018-04,2,10220.09961,10969.87988,1
2018-04,3,10255.34961,10837.54004,1
2018-04,9,10397.7002,10904.75,1
2018-04,10,10424.84961,10975.66992,1
2018-04,11,10428.15039,11016.34961,1
2018-04,12,10469.90039,11008.2002,1
2018-04,13,10519.90039,10988.23047,1
2018-04,16,10540.15039,10974.94043,1
2018-04,17,10560.4502,10965.2002,1
2018-04,18,10594.2002,10917.59961,1
2018-04,19,10572.2002,10983.95996,1
2018-04,20,10582.34961,10831.55957,1
2018-04,23,10638.34961,10774.73047,1
2018-04,24,10636.79981,10692.19043,1
2018-04,25,10612.59961,10573.73047,1
2018-04,26,10628.40039,10618.67969,1
2018-04,27,10719.79981,10573.61035,1
2018-04,30,10759,10660.61035,1
2018-05,2,10784.65039,10683.90039,1
2018-05,3,10720.59961,10578.98047,1
2018-05,4,10700.4502,10566.37012,1
2018-05,7,10725.65039,10632.62012,1
2018-05,8,10758.54981,10691.37988,1
2018-05,9,10766.25,10748.59961,1
2018-05,10,10785.54981,10782.05957,1
2018-05,11,10812.04981,10874.62988,1
2018-05,14,10834.84961,10970.24023,1
2018-05,15,10929.2002,10978.37988,1
2018-05,16,10790.4502,10915.74023,1
2018-05,17,10777.25,10938.62988,1
2018-05,18,10674.9502,10893.34961,1
2018-05,21,10621.7002,10979.09961,1
2018-05,22,10558.59961,11034.12012,1
2018-05,23,10533.54981,10991.86035,1
2018-05,24,10535.15039,10942.63965,1
2018-05,25,10628.04981,10977.80957,1
2018-05,28,10709.79981,10999.42969,1
2018-05,29,10717.25,10986.53027,1
2018-05,30,10648.7002,10925.20996,1
2018-05,31,10763.79981,10909.61035,1
2018-06,1,10764.75,10954.66992,1
2018-06,4,10770.29981,11109.5,1
2018-06,5,10633.15039,11131.08008,1
2018-06,6,10698.34961,11207.15039,1
2018-06,7,10818,11261.67969,1
2018-06,8,10779.4502,11243.58984,1
2018-06,11,10850.54981,11186.66992,1
2018-06,12,10856.54981,11160.04981,1
2018-06,13,10893.25,11188.00977,1
2018-06,14,10833.7002,11143.04004,1
2018-06,15,10834,11087.46973,1
2018-06,19,10789.4502,11008.76953,1
2018-06,20,10781.79981,10969.2002,1
2018-06,21,10809.59961,10992.30957,1
2018-06,22,10837,10914.83008,1
2018-06,25,10831.04981,10851.16016,1
2018-06,26,10805.25,10752.99023,1
2018-06,27,10785.5,10800.33984,1
2018-06,28,10674.2002,10723.83984,1
2018-06,29,10723.04981,10836.91016,1
2018-07,2,10736.15039,10886.2002,1
2018-07,3,10713.29981,10873.48047,1
2018-07,4,10777.15039,10752.04981,1
2018-07,5,10786.04981,10709.79981,1
2018-07,6,10816.34961,10665.71973,1
2018-07,9,10860.34961,10746.74023,1
2018-07,10,10956.90039,10776.46973,1
2018-07,11,10976.65039,10693.63965,1
2018-07,12,11078.29981,10752.57031,1
2018-07,13,11071.34961,10864.54004,1
