date,open,high,low,close,adjusted close,volume
7/12/1966,467.570007,467.570007,467.570007,467.570007,467.570007,0
8/12/1966,469.470001,469.470001,469.470001,469.470001,469.470001,0
9/12/1966,470.529999,470.529999,470.529999,470.529999,470.529999,0
12/12/1966,475.079987,475.079987,475.079987,475.079987,475.079987,0
13/12/1966,473.809998,473.809998,473.809998,473.809998,473.809998,0
14/12/1966,473.700012,473.700012,473.700012,473.700012,473.700012,0
15/12/1966,468.730011,468.730011,468.730011,468.730011,468.730011,0
16/12/1966,468.839996,468.839996,468.839996,468.839996,468.839996,0
19/12/1966,467.570007,467.570007,467.570007,467.570007,467.570007,0
20/12/1966,465.670013,465.670013,465.670013,465.670013,465.670013,0
21/12/1966,468.200012,468.200012,468.200012,468.200012,468.200012,0
22/12/1966,470.109985,470.109985,470.109985,470.109985,470.109985,0
23/12/1966,468.940002,468.940002,468.940002,468.940002,468.940002,0
27/12/1966,466.51001,466.51001,466.51001,466.51001,466.51001,0
28/12/1966,464.190002,464.190002,464.190002,464.190002,464.190002,0
29/12/1966,462.48999,462.48999,462.48999,462.48999,462.48999,0
30/12/1966,462.279999,462.279999,462.279999,462.279999,462.279999,0
3/1/1967,462.48999,462.48999,462.48999,462.48999,462.48999,0
4/1/1967,463.339996,463.339996,463.339996,463.339996,463.339996,0
5/1/1967,469.26001,469.26001,469.26001,469.26001,469.26001,0
6/1/1967,472.75,472.75,472.75,472.75,472.75,0
9/1/1967,476.660004,476.660004,476.660004,476.660004,476.660004,0
10/1/1967,476.660004,476.660004,476.660004,476.660004,476.660004,0
11/1/1967,480.579987,480.579987,480.579987,480.579987,480.579987,0
12/1/1967,483.429993,483.429993,483.429993,483.429993,483.429993,0
13/1/1967,486.809998,486.809998,486.809998,486.809998,486.809998,0
16/1/1967,485.970001,485.970001,485.970001,485.970001,485.970001,0
17/1/1967,491.26001,491.26001,491.26001,491.26001,491.26001,0
18/1/1967,494,494,494,494,494,0
19/1/1967,494.220001,494.220001,494.220001,494.220001,494.220001,0
20/1/1967,496.01001,496.01001,496.01001,496.01001,496.01001,0
23/1/1967,497.809998,497.809998,497.809998,497.809998,497.809998,0
24/1/1967,498.76001,498.76001,498.76001,498.76001,498.76001,0
25/1/1967,495.380005,495.380005,495.380005,495.380005,495.380005,0
26/1/1967,495.700012,495.700012,495.700012,495.700012,495.700012,0
27/1/1967,497.809998,497.809998,497.809998,497.809998,497.809998,0
30/1/1967,500.670013,500.670013,500.670013,500.670013,500.670013,0
31/1/1967,500.140015,500.140015,500.140015,500.140015,500.140015,0
1/2/1967,499.5,499.5,499.5,499.5,499.5,0
2/2/1967,501.089996,501.089996,501.089996,501.089996,501.089996,0
3/2/1967,504.679993,504.679993,504.679993,504.679993,504.679993,0
6/2/1967,503.730011,503.730011,503.730011,503.730011,503.730011,0
7/2/1967,502.679993,502.679993,502.679993,502.679993,502.679993,0
8/2/1967,507.119995,507.119995,507.119995,507.119995,507.119995,0
9/2/1967,505.109985,505.109985,505.109985,505.109985,505.109985,0
10/2/1967,506.160004,506.160004,506.160004,506.160004,506.160004,0
13/2/1967,506.899994,506.899994,506.899994,506.899994,506.899994,0
14/2/1967,510.290009,510.290009,510.290009,510.290009,510.290009,0
